date,product,capacity_price,offered_capacity,allocated_capacity,month,gas,coal
2020-11-02,NEG_20_24,13.85,100,97,11,2.85,65.6
2020-11-03,NEG_20_24,118.0,80,80,11,4.75,174.5
2020-11-04,NEG_20_24,58.82,80,80,11,2.47,142.1
2020-11-05,NEG_20_24,32.0,30,30,11,2.78,65.4
2020-11-06,NEG_20_24,19.0,80,80,11,4.57,315.0
2020-11-07,NEG_20_24,13.95,40,40,11,4.57,315.0
2020-11-08,NEG_20_24,10.7,30,30,11,4.57,315.0
2020-11-09,NEG_20_24,9.55,80,80,11,2.81,143.85
2020-11-10,NEG_20_24,6.67,80,80,11,2.64,143.85
2020-11-11,NEG_20_24,5.0,30,30,11,5.72,143.85
2020-11-12,NEG_20_24,4.55,79,79,11,2.32,143.85
2020-11-13,NEG_20_24,3.7,79,79,11,3.1,143.85
2020-11-14,NEG_20_24,15.0,79,79,11,3.1,143.85
2020-11-15,NEG_20_24,41.0,30,30,11,3.1,143.85
2020-11-16,NEG_20_24,21.56,20,20,11,8.7,143.85
2020-11-17,NEG_20_24,16.6,79,79,11,3.66,143.85
2020-11-18,NEG_20_24,18.5,79,79,11,5.73,143.85
2020-11-19,NEG_20_24,14.41,20,20,11,8.28,143.85
2020-11-20,NEG_20_24,10.0,80,80,11,4.62,143.85
2020-11-21,NEG_20_24,15.45,30,30,11,4.62,143.85
2020-11-22,NEG_20_24,13.92,30,30,11,4.62,143.85
2020-11-23,NEG_20_24,10.04,30,30,11,9.26,143.85
2020-11-24,NEG_20_24,7.5,80,80,11,5.62,143.85
2020-11-25,NEG_20_24,5.12,35,35,11,5.19,143.85
2020-11-26,NEG_20_24,4.29,80,80,11,5.19,143.85
2020-11-27,NEG_20_24,4.5,100,100,11,5.71,143.85
2020-11-28,NEG_20_24,5.81,24,24,11,5.71,143.85
2020-11-29,NEG_20_24,5.22,100,100,11,5.71,143.85
2020-11-30,NEG_20_24,6.83,30,30,11,2.88,143.85
2020-12-01,NEG_20_24,4.33,24,24,12,4.26,143.85
2020-12-02,NEG_20_24,3.67,80,80,12,6.74,143.85
2020-12-03,NEG_20_24,7.0,100,100,12,4.44,143.85
2020-12-04,NEG_20_24,4.27,30,30,12,2.85,143.85
2020-12-05,NEG_20_24,3.8,29,29,12,2.85,143.85
2020-12-06,NEG_20_24,3.04,33,33,12,2.85,143.85
2020-12-07,NEG_20_24,3.0,33,33,12,5.5,143.85
2020-12-08,NEG_20_24,3.0,80,80,12,2.46,143.85
2020-12-09,NEG_20_24,7.8,24,24,12,2.84,70.2
2020-12-10,NEG_20_24,6.55,20,20,12,4.76,265.4
2020-12-11,NEG_20_24,9.75,24,24,12,2.77,136.4
2020-12-12,NEG_20_24,5.85,80,80,12,2.77,136.4
2020-12-13,NEG_20_24,4.5,30,30,12,2.77,136.4
2020-12-14,NEG_20_24,3.57,40,40,12,2.64,95.8
2020-12-15,NEG_20_24,3.0,19,19,12,7.48,326.15
2020-12-16,NEG_20_24,2.66,19,19,12,2.21,122.25
2020-12-17,NEG_20_24,2.4,80,57,12,3.08,369.0
2020-12-18,NEG_20_24,4.0,40,40,12,8.49,365.5
2020-12-19,NEG_20_24,5.27,30,30,12,8.49,365.5
2020-12-20,NEG_20_24,4.3,30,30,12,8.49,365.5
2020-12-21,NEG_20_24,30.96,20,20,12,3.7,156.25
2020-12-22,NEG_20_24,13.7,20,20,12,3.94,370.25
2020-12-23,NEG_20_24,6.52,100,100,12,7.71,233.05
2020-12-24,NEG_20_24,8.76,30,30,12,4.64,136.0
2020-12-25,NEG_20_24,7.15,30,30,12,4.64,136.0
2020-12-26,NEG_20_24,104.61,30,30,12,4.64,136.0
2020-12-27,NEG_20_24,91.0,20,20,12,4.64,136.0
2020-12-28,NEG_20_24,22.21,30,30,12,8.79,136.0
2020-12-29,NEG_20_24,7.7,24,24,12,3.24,136.0
2020-12-30,NEG_20_24,6.31,30,30,12,5.54,136.0
2020-12-31,NEG_20_24,5.44,100,100,12,6.27,225.1
2021-01-01,NEG_20_24,4.76,40,40,1,6.27,225.1
2021-01-02,NEG_20_24,3.92,24,24,1,6.27,225.1
2021-01-03,NEG_20_24,5.08,30,28,1,6.27,225.1
2021-01-04,NEG_20_24,3.8,24,24,1,2.78,123.1
2021-01-05,NEG_20_24,3.34,100,100,1,4.06,266.0
2021-01-06,NEG_20_24,3.1,100,100,1,6.28,190.5
2021-01-07,NEG_20_24,2.97,100,100,1,3.82,65.4
2021-01-08,NEG_20_24,2.67,100,100,1,3.99,177.3
2021-01-09,NEG_20_24,2.64,40,40,1,3.99,177.3
2021-01-10,NEG_20_24,2.28,30,30,1,3.99,177.3
2021-01-11,NEG_20_24,9.0,60,60,1,2.79,136.85
2021-01-12,NEG_20_24,7.65,15,15,1,4.89,66.15
2021-01-13,NEG_20_24,5.2,20,20,1,2.41,436.5
2021-01-14,NEG_20_24,3.25,20,20,1,2.82,141.4
2021-01-15,NEG_20_24,2.76,40,40,1,4.72,259.8
2021-01-16,NEG_20_24,2.4,40,40,1,4.72,259.8
2021-01-17,NEG_20_24,2.08,40,40,1,4.72,259.8
2021-01-18,NEG_20_24,4.4,40,40,1,4.72,136.1
2021-01-19,NEG_20_24,5.0,20,20,1,3.01,96.4
2021-01-20,NEG_20_24,5.28,20,20,1,2.1,327.15
2021-01-21,NEG_20_24,4.9,20,20,1,2.97,123.6
2021-01-22,NEG_20_24,3.7,21,21,1,7.95,139.7
2021-01-23,NEG_20_24,2.46,40,40,1,7.95,139.7
2021-01-24,NEG_20_24,1.9,40,40,1,7.95,139.7
2021-01-25,NEG_20_24,2.0,30,30,1,2.17,366.05
2021-01-26,NEG_20_24,1.7,30,30,1,3.04,162.2
2021-01-27,NEG_20_24,1.54,30,30,1,8.52,376.0
2021-01-28,NEG_20_24,1.47,30,30,1,4.03,50.9
2021-01-29,NEG_20_24,1.46,100,100,1,8.27,139.75
2021-01-30,NEG_20_24,1.56,30,30,1,8.27,139.75
2021-01-31,NEG_20_24,1.67,30,30,1,8.27,139.75
2021-02-01,NEG_20_24,1.44,100,100,2,4.71,229.5
2021-02-02,NEG_20_24,6.28,100,100,2,6.47,124.25
2021-02-03,NEG_20_24,20.0,36,36,2,3.06,267.0
2021-02-04,NEG_20_24,8.67,36,36,2,5.67,120.0
2021-02-05,NEG_20_24,7.11,100,100,2,5.98,187.25
2021-02-06,NEG_20_24,20.46,20,20,2,5.98,187.25
2021-02-07,NEG_20_24,18.0,20,20,2,5.98,187.25
2021-02-08,NEG_20_24,9.0,100,100,2,2.51,63.75
2021-02-09,NEG_20_24,5.45,25,25,2,4.13,177.45
2021-02-10,NEG_20_24,4.8,25,25,2,2.58,138.5
2021-02-11,NEG_20_24,3.76,25,25,2,3.72,65.7
2021-02-12,NEG_20_24,4.12,40,40,2,4.17,353.75
2021-02-13,NEG_20_24,5.0,40,40,2,4.17,353.75
2021-02-14,NEG_20_24,5.0,14,14,2,4.17,353.75
2021-02-15,NEG_20_24,4.58,24,24,2,4.17,131.75
2021-02-16,NEG_20_24,6.08,40,40,2,2.94,149.0
2021-02-17,NEG_20_24,5.47,60,60,2,4.57,78.65
2021-02-18,NEG_20_24,13.93,100,100,2,2.75,283.1
2021-02-19,NEG_20_24,7.5,22,18,2,5.02,131.5
2021-02-20,NEG_20_24,17.06,16,16,2,5.02,131.5
2021-02-21,NEG_20_24,11.12,16,16,2,5.02,131.5
2021-02-22,NEG_20_24,6.23,100,100,2,5.71,100.5
2021-02-23,NEG_20_24,5.66,100,100,2,2.11,327.15
2021-02-24,NEG_20_24,6.04,50,50,2,2.97,140.05
2021-02-25,NEG_20_24,5.0,100,100,2,8.42,355.0
2021-02-26,NEG_20_24,4.8,18,18,2,2.1,165.15
2021-02-27,NEG_20_24,7.26,24,24,2,2.1,165.15
2021-02-28,NEG_20_24,5.46,29,29,2,2.1,165.15
2021-03-01,NEG_20_24,4.88,24,24,3,3.1,315.85
2021-03-02,NEG_20_24,4.14,24,24,3,4.16,51.05
2021-03-03,NEG_20_24,3.74,24,24,3,8.12,149.5
2021-03-04,NEG_20_24,3.32,20,20,3,5.77,221.0
2021-03-05,NEG_20_24,2.76,75,75,3,6.84,121.5
2021-03-06,NEG_20_24,4.28,80,80,3,6.84,121.5
2021-03-07,NEG_20_24,3.63,19,19,3,6.84,121.5
2021-03-08,NEG_20_24,2.94,50,50,3,3.05,69.3
2021-03-09,NEG_20_24,2.42,80,80,3,5.72,130.1
2021-03-10,NEG_20_24,17.12,100,100,3,6.4,178.75
2021-03-11,NEG_20_24,42.83,20,20,3,2.58,65.0
2021-03-12,NEG_20_24,43.0,20,20,3,2.7,183.0
2021-03-13,NEG_20_24,43.35,20,20,3,2.7,183.0
2021-03-14,NEG_20_24,31.92,14,14,3,2.7,183.0
2021-03-15,NEG_20_24,19.5,100,100,3,3.88,65.2
2021-03-16,NEG_20_24,9.0,100,100,3,3.72,432.5
2021-03-17,NEG_20_24,6.3,24,24,3,2.86,262.0
2021-03-18,NEG_20_24,5.54,25,25,3,2.7,144.05
2021-03-19,NEG_20_24,4.33,70,70,3,2.51,78.5
2021-03-20,NEG_20_24,4.67,16,16,3,2.51,78.5
2021-03-21,NEG_20_24,5.7,24,24,3,2.51,78.5
2021-03-22,NEG_20_24,4.26,25,25,3,6.03,311.5
2021-03-23,NEG_20_24,3.52,25,25,3,2.16,125.3
2021-03-24,NEG_20_24,3.39,100,100,3,2.94,101.25
2021-03-25,NEG_20_24,2.86,25,25,3,8.78,376.0
2021-03-26,NEG_20_24,7.85,100,100,3,2.14,141.1
2021-03-27,NEG_20_24,13.96,100,100,3,2.14,141.1
2021-03-28,NEG_20_24,14.79,100,20,3,2.14,141.1
2021-03-29,NEG_20_24,8.4,30,30,3,5.52,329.5
2021-03-30,NEG_20_24,5.18,100,100,3,4.14,247.75
2021-03-31,NEG_20_24,3.48,24,24,3,8.06,301.0
2021-04-01,NEG_20_24,2.92,20,20,4,6.31,50.85
2021-04-02,NEG_20_24,11.37,20,20,4,6.93,50.85
2021-04-03,NEG_20_24,8.0,20,20,4,6.93,50.85
2021-04-04,NEG_20_24,8.12,20,20,4,6.93,50.85
2021-04-05,NEG_20_24,22.86,13,13,4,2.94,148.0
2021-04-06,NEG_20_24,11.7,20,20,4,5.52,216.0
2021-04-07,NEG_20_24,11.18,75,75,4,5.58,64.9
2021-04-08,NEG_20_24,7.84,35,35,4,2.72,137.3
2021-04-09,NEG_20_24,4.78,25,25,4,3.81,177.75
2021-04-10,NEG_20_24,3.67,25,25,4,3.81,177.75
2021-04-11,NEG_20_24,4.52,20,20,4,3.81,177.75
2021-04-12,NEG_20_24,5.95,100,49,4,3.71,66.45
2021-04-13,NEG_20_24,9.8,25,25,4,2.46,65.25
2021-04-14,NEG_20_24,5.01,100,100,4,2.57,70.2
2021-04-15,NEG_20_24,4.0,50,50,4,2.46,290.1
2021-04-16,NEG_20_24,4.01,100,100,4,6.03,139.0
2021-04-17,NEG_20_24,9.3,100,100,4,6.03,139.0
2021-04-18,NEG_20_24,7.33,100,100,4,6.03,139.0
2021-04-19,NEG_20_24,5.0,100,100,4,2.01,80.05
2021-04-20,NEG_20_24,4.26,100,100,4,2.93,321.0
2021-04-21,NEG_20_24,9.0,100,100,4,8.04,127.15
2021-04-22,NEG_20_24,17.37,100,100,4,9.32,127.25
2021-04-23,NEG_20_24,14.2,100,100,4,3.64,380.0
2021-04-24,NEG_20_24,11.5,100,100,4,3.64,380.0
2021-04-25,NEG_20_24,10.25,13,13,4,3.64,380.0
2021-04-26,NEG_20_24,9.37,100,100,4,5.51,142.15
2021-04-27,NEG_20_24,10.25,100,100,4,4.14,313.65
2021-04-28,NEG_20_24,8.0,100,99,4,8.15,274.5
2021-04-29,NEG_20_24,6.71,45,45,4,5.68,294.35
2021-04-30,NEG_20_24,5.91,100,100,4,6.97,51.4
2021-05-01,NEG_20_24,22.0,40,40,5,6.97,51.4
2021-05-02,NEG_20_24,23.0,40,40,5,6.97,51.4
2021-05-03,NEG_20_24,551.43,40,40,5,2.89,148.25
2021-05-04,NEG_20_24,361.83,20,20,5,3.66,262.25
2021-05-05,NEG_20_24,175.0,20,20,5,5.47,64.25
2021-05-06,NEG_20_24,102.92,20,20,5,2.73,143.5
2021-05-07,NEG_20_24,76.64,20,20,5,3.92,172.3
2021-05-08,NEG_20_24,75.0,20,20,5,3.92,172.3
2021-05-09,NEG_20_24,232.56,20,20,5,3.92,172.3
2021-05-10,NEG_20_24,146.16,20,20,5,4.23,139.25
2021-05-11,NEG_20_24,101.48,55,55,5,2.58,123.0
2021-05-12,NEG_20_24,71.14,65,65,5,4.83,70.3
2021-05-13,NEG_20_24,56.0,70,70,5,2.69,290.65
2021-05-14,NEG_20_24,43.9,75,75,5,2.52,135.1
2021-05-15,NEG_20_24,32.72,75,75,5,2.52,135.1
2021-05-16,NEG_20_24,30.9,13,13,5,2.52,135.1
2021-05-17,NEG_20_24,51.88,75,75,5,6.36,81.55
2021-05-18,NEG_20_24,31.0,90,90,5,2.01,319.5
2021-05-19,NEG_20_24,22.99,90,90,5,2.96,333.6
2021-05-20,NEG_20_24,19.0,90,90,5,3.07,123.8
2021-05-21,NEG_20_24,35.0,20,20,5,9.29,384.75
2021-05-22,NEG_20_24,129.5,11,11,5,9.29,384.75
2021-05-23,NEG_20_24,106.78,20,20,5,9.29,384.75
2021-05-24,NEG_20_24,83.2,30,30,5,3.6,143.9
2021-05-25,NEG_20_24,66.46,20,20,5,6.3,168.0
2021-05-26,NEG_20_24,49.59,40,40,5,4.57,380.0
2021-05-27,NEG_20_24,36.63,40,40,5,7.84,237.1
2021-05-28,NEG_20_24,25.83,20,20,5,5.68,267.85
2021-05-29,NEG_20_24,18.68,11,11,5,5.68,267.85
2021-05-30,NEG_20_24,38.42,40,40,5,5.68,267.85
2021-05-31,NEG_20_24,30.0,40,40,5,5.68,267.85
2021-06-01,NEG_20_24,20.92,12,12,6,6.75,50.8
2021-06-02,NEG_20_24,18.56,12,12,6,6.94,122.2
2021-06-03,NEG_20_24,25.16,20,20,6,2.41,266.65
2021-06-04,NEG_20_24,42.72,20,20,6,3.71,66.6
2021-06-05,NEG_20_24,29.0,40,27,6,3.71,66.6
2021-06-06,NEG_20_24,23.3,20,20,6,3.71,66.6
2021-06-07,NEG_20_24,31.48,40,40,6,5.72,140.2
2021-06-08,NEG_20_24,20.75,40,40,6,2.7,182.5
2021-06-09,NEG_20_24,15.34,12,12,6,2.88,136.0
2021-06-10,NEG_20_24,28.0,100,100,6,4.25,425.2
2021-06-11,NEG_20_24,62.06,20,20,6,2.4,124.5
2021-06-12,NEG_20_24,55.49,10,10,6,2.4,124.5
2021-06-13,NEG_20_24,46.75,20,20,6,2.4,124.5
2021-06-14,NEG_20_24,29.6,20,20,6,2.66,68.8
2021-06-15,NEG_20_24,19.01,20,20,6,4.53,280.7
2021-06-16,NEG_20_24,16.4,20,20,6,2.55,82.5
2021-06-17,NEG_20_24,13.44,20,20,6,2.52,106.0
2021-06-18,NEG_20_24,10.96,20,20,6,6.28,326.2
2021-06-19,NEG_20_24,17.22,20,20,6,6.28,326.2
2021-06-20,NEG_20_24,17.93,20,20,6,6.28,326.2
2021-06-21,NEG_20_24,21.92,12,12,6,2.24,124.65
2021-06-22,NEG_20_24,16.56,100,100,6,3.13,385.0
2021-06-23,NEG_20_24,12.39,100,100,6,8.7,168.2
2021-06-24,NEG_20_24,9.2,50,50,6,3.69,363.05
2021-06-25,NEG_20_24,7.2,100,100,6,6.03,232.65
2021-06-26,NEG_20_24,8.37,100,100,6,6.03,232.65
2021-06-27,NEG_20_24,8.8,100,19,6,6.03,232.65
2021-06-28,NEG_20_24,7.22,50,50,6,7.59,261.6
2021-06-29,NEG_20_24,5.5,100,100,6,4.91,200.9
2021-06-30,NEG_20_24,4.46,100,100,6,7.92,129.1
2021-07-01,NEG_20_24,3.6,100,100,7,5.57,263.3
2021-07-02,NEG_20_24,2.64,100,100,7,5.43,68.5
2021-07-03,NEG_20_24,3.53,100,100,7,5.43,68.5
2021-07-04,NEG_20_24,3.32,10,10,7,5.43,68.5
2021-07-05,NEG_20_24,2.52,100,100,7,5.43,68.25
2021-07-06,NEG_20_24,2.36,50,50,7,6.14,186.1
2021-07-07,NEG_20_24,2.23,100,100,7,2.4,129.65
2021-07-08,NEG_20_24,2.0,100,100,7,3.82,65.5
2021-07-09,NEG_20_24,2.68,100,100,7,5.96,439.0
