date,product,capacity_price,offered_capacity,allocated_capacity,month,gas,coal
2020-11-02,POS_04_08,6.56,29,29,11,2.85,65.6
2020-11-03,POS_04_08,1103.5,32,32,11,4.75,174.5
2020-11-04,POS_04_08,160.52,32,32,11,2.47,142.1
2020-11-05,POS_04_08,68.1,32,32,11,2.78,65.4
2020-11-06,POS_04_08,48.36,29,29,11,4.57,315.0
2020-11-07,POS_04_08,30.85,30,30,11,4.57,315.0
2020-11-08,POS_04_08,21.5,29,29,11,4.57,315.0
2020-11-09,POS_04_08,35.72,32,32,11,2.81,143.85
2020-11-10,POS_04_08,29.12,32,32,11,2.64,143.85
2020-11-11,POS_04_08,24.75,29,29,11,5.72,143.85
2020-11-12,POS_04_08,20.0,29,29,11,2.32,143.85
2020-11-13,POS_04_08,17.2,30,30,11,3.1,143.85
2020-11-14,POS_04_08,13.2,29,29,11,3.1,143.85
2020-11-15,POS_04_08,37.78,29,29,11,3.1,143.85
2020-11-16,POS_04_08,29.0,29,29,11,8.7,143.85
2020-11-17,POS_04_08,25.92,32,32,11,3.66,143.85
2020-11-18,POS_04_08,21.11,29,29,11,5.73,143.85
2020-11-19,POS_04_08,24.0,29,29,11,8.28,143.85
2020-11-20,POS_04_08,20.79,32,32,11,4.62,143.85
2020-11-21,POS_04_08,14.67,29,29,11,4.62,143.85
2020-11-22,POS_04_08,26.67,20,20,11,4.62,143.85
2020-11-23,POS_04_08,23.3,32,32,11,9.26,143.85
2020-11-24,POS_04_08,20.02,32,32,11,5.62,143.85
2020-11-25,POS_04_08,18.0,30,30,11,5.19,143.85
2020-11-26,POS_04_08,23.89,30,30,11,5.19,143.85
2020-11-27,POS_04_08,32.0,29,29,11,5.71,143.85
2020-11-28,POS_04_08,17.6,20,20,11,5.71,143.85
2020-11-29,POS_04_08,13.18,29,29,11,5.71,143.85
2020-11-30,POS_04_08,38.0,29,29,11,2.88,143.85
2020-12-01,POS_04_08,23.74,28,28,12,4.26,143.85
2020-12-02,POS_04_08,30.03,24,24,12,6.74,143.85
2020-12-03,POS_04_08,22.56,30,30,12,4.44,143.85
2020-12-04,POS_04_08,16.92,29,29,12,2.85,143.85
2020-12-05,POS_04_08,12.5,29,29,12,2.85,143.85
2020-12-06,POS_04_08,10.0,34,34,12,2.85,143.85
2020-12-07,POS_04_08,16.25,33,33,12,5.5,143.85
2020-12-08,POS_04_08,28.0,24,24,12,2.46,143.85
2020-12-09,POS_04_08,30.0,30,30,12,2.84,70.2
2020-12-10,POS_04_08,27.88,30,30,12,4.76,265.4
2020-12-11,POS_04_08,20.57,30,30,12,2.77,136.4
2020-12-12,POS_04_08,14.1,29,29,12,2.77,136.4
2020-12-13,POS_04_08,9.88,29,29,12,2.77,136.4
2020-12-14,POS_04_08,13.64,29,29,12,2.64,95.8
2020-12-15,POS_04_08,25.76,32,32,12,7.48,326.15
