date,coal
2020-11-02,65.6
2020-11-03,174.5
2020-11-04,142.1
2020-11-05,65.4
2020-11-06,315.0
2020-11-07,315.0
2020-11-08,315.0
2020-11-09,143.85
2020-11-10,143.85
2020-11-11,143.85
2020-11-12,143.85
2020-11-13,143.85
2020-11-14,143.85
2020-11-15,143.85
2020-11-16,143.85
2020-11-17,143.85
2020-11-18,143.85
2020-11-19,143.85
2020-11-20,143.85
2020-11-21,143.85
2020-11-22,143.85
2020-11-23,143.85
2020-11-24,143.85
2020-11-25,143.85
2020-11-26,143.85
2020-11-27,143.85
2020-11-28,143.85
2020-11-29,143.85
2020-11-30,143.85
2020-12-01,143.85
2020-12-02,143.85
2020-12-03,143.85
2020-12-04,143.85
2020-12-05,143.85
2020-12-06,143.85
2020-12-07,143.85
2020-12-08,143.85
2020-12-09,70.2
2020-12-10,265.4
2020-12-11,136.4
2020-12-12,136.4
2020-12-13,136.4
2020-12-14,95.8
2020-12-15,326.15
2020-12-16,122.25
2020-12-17,369.0
2020-12-18,365.5
2020-12-19,365.5
2020-12-20,365.5
2020-12-21,156.25
2020-12-22,370.25
2020-12-23,233.05
2020-12-24,136.0
2020-12-25,136.0
2020-12-26,136.0
2020-12-27,136.0
2020-12-28,136.0
2020-12-29,136.0
2020-12-30,136.0
2020-12-31,225.1
2021-01-01,225.1
2021-01-02,225.1
2021-01-03,225.1
2021-01-04,123.1
2021-01-05,266.0
2021-01-06,190.5
2021-01-07,65.4
2021-01-08,177.3
2021-01-09,177.3
2021-01-10,177.3
2021-01-11,136.85
2021-01-12,66.15
2021-01-13,436.5
2021-01-14,141.4
2021-01-15,259.8
2021-01-16,259.8
2021-01-17,259.8
2021-01-18,136.1
2021-01-19,96.4
2021-01-20,327.15
2021-01-21,123.6
2021-01-22,139.7
2021-01-23,139.7
2021-01-24,139.7
2021-01-25,366.05
2021-01-26,162.2
2021-01-27,376.0
2021-01-28,50.9
2021-01-29,139.75
2021-01-30,139.75
2021-01-31,139.75
2021-02-01,229.5
2021-02-02,124.25
2021-02-03,267.0
2021-02-04,120.0
2021-02-05,187.25
2021-02-06,187.25
2021-02-07,187.25
2021-02-08,63.75
2021-02-09,177.45
2021-02-10,138.5
2021-02-11,65.7
2021-02-12,353.75
2021-02-13,353.75
2021-02-14,353.75
2021-02-15,131.75
2021-02-16,149.0
2021-02-17,78.65
2021-02-18,283.1
2021-02-19,131.5
2021-02-20,131.5
2021-02-21,131.5
2021-02-22,100.5
2021-02-23,327.15
2021-02-24,140.05
2021-02-25,355.0
2021-02-26,165.15
2021-02-27,165.15
2021-02-28,165.15
2021-03-01,315.85
2021-03-02,51.05
2021-03-03,149.5
2021-03-04,221.0
2021-03-05,121.5
2021-03-06,121.5
2021-03-07,121.5
2021-03-08,69.3
2021-03-09,130.1
2021-03-10,178.75
2021-03-11,65.0
2021-03-12,183.0
2021-03-13,183.0
2021-03-14,183.0
2021-03-15,65.2
2021-03-16,432.5
2021-03-17,262.0
2021-03-18,144.05
2021-03-19,78.5
2021-03-20,78.5
2021-03-21,78.5
2021-03-22,311.5
2021-03-23,125.3
2021-03-24,101.25
2021-03-25,376.0
2021-03-26,141.1
2021-03-27,141.1
2021-03-28,141.1
2021-03-29,329.5
2021-03-30,247.75
2021-03-31,301.0
2021-04-01,50.85
2021-04-02,50.85
2021-04-03,50.85
2021-04-04,50.85
2021-04-05,148.0
2021-04-06,216.0
2021-04-07,64.9
2021-04-08,137.3
2021-04-09,177.75
2021-04-10,177.75
2021-04-11,177.75
2021-04-12,66.45
2021-04-13,65.25
2021-04-14,70.2
2021-04-15,290.1
2021-04-16,139.0
2021-04-17,139.0
2021-04-18,139.0
2021-04-19,80.05
2021-04-20,321.0
2021-04-21,127.15
2021-04-22,127.25
2021-04-23,380.0
2021-04-24,380.0
2021-04-25,380.0
2021-04-26,142.15
2021-04-27,313.65
2021-04-28,274.5
2021-04-29,294.35
2021-04-30,51.4
2021-05-01,51.4
2021-05-02,51.4
2021-05-03,148.25
2021-05-04,262.25
2021-05-05,64.25
2021-05-06,143.5
2021-05-07,172.3
2021-05-08,172.3
2021-05-09,172.3
2021-05-10,139.25
2021-05-11,123.0
